AssessmentPPID,PropertyID,TaxYear,ClassCode,EstimatedFlag,UnderThresholdFlag,TotalMarketValue,SpecialMobileValue,EstPenalty,MarketValue,TaxClass,TaxablePercent,TotalTaxableValue,SpecialMobileTaxable,TaxableValue,ClassQuantity,TIFBaseValue,TIFIncrementalValue,TotalMills,TaxAmount
307944,1573966,2019,6103,No,No,-5667.000000,NULL,NULL,-5667.000000,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,633.060,NULL
304626,1573992,2019,6311,No,No,148.000000,0.000000,0.000000,148.000000,8,1.500000,2.000000,0.000000,2.000000,1.000000,0.000000,0.000000,638.050,1.280000
304625,1573993,2019,6311,No,No,1170.000000,0.000000,0.000000,1170.000000,8,1.500000,13.000000,0.000000,13.000000,1.000000,0.000000,0.000000,633.060,8.230000
298855,1574155,2019,6311,No,No,186.000000,NULL,NULL,186.000000,8,1.500000,2.000000,NULL,2.000000,NULL,NULL,NULL,594.520,1.190000
298852,1574157,2019,6311,No,No,33.000000,NULL,NULL,33.000000,8,1.500000,1.000000,NULL,1.000000,1.000000,NULL,NULL,532.330,0.530000
298837,1574196,2019,6311,No,No,69.000000,NULL,NULL,69.000000,8,1.500000,1.000000,NULL,1.000000,2.000000,NULL,NULL,466.190,0.470000
298854,1574197,2019,6311,No,No,118.000000,NULL,NULL,118.000000,8,1.500000,1.000000,NULL,1.000000,1.000000,NULL,NULL,620.340,0.620000
304681,1574365,2019,6311,No,No,3398.000000,0.000000,0.000000,3398.000000,8,1.500000,47.000000,0.000000,47.000000,8.000000,0.000000,0.000000,581.460,27.330000
304682,1574365,2019,6519,No,No,375.000000,0.000000,0.000000,375.000000,8,1.500000,5.000000,0.000000,5.000000,0.000000,0.000000,0.000000,581.460,2.910000
304469,1574498,2019,6311,No,No,11407.000000,0.000000,0.000000,11407.000000,8,1.500000,133.000000,0.000000,133.000000,7.000000,0.000000,0.000000,691.630,91.990000
298970,1574504,2019,6311,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,581.460,0.000000
298971,1574505,2019,6311,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,749.810,0.000000
304742,1574558,2019,6311,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,620.340,0.000000
300122,1574574,2019,6837,No,No,2012.000000,NULL,NULL,2012.000000,8,1.500000,29.000000,NULL,29.000000,3.000000,NULL,NULL,485.600,14.080000
300125,1574575,2019,6837,No,No,1228.000000,NULL,NULL,1228.000000,8,1.500000,18.000000,NULL,18.000000,3.000000,NULL,NULL,599.810,10.800000
302146,1574655,2019,6837,No,No,227.000000,NULL,NULL,227.000000,8,1.500000,3.000000,NULL,3.000000,NULL,NULL,NULL,596.460,1.790000
302157,1574657,2019,6837,No,No,1926.000000,NULL,NULL,1926.000000,8,1.500000,28.000000,NULL,28.000000,NULL,NULL,NULL,553.770,15.510000
300124,1574664,2019,6837,No,No,409.000000,NULL,NULL,409.000000,8,1.500000,6.000000,NULL,6.000000,1.000000,NULL,NULL,600.720,3.600000
300120,1574666,2019,6837,No,No,224.000000,NULL,NULL,224.000000,8,1.500000,3.000000,NULL,3.000000,1.000000,NULL,NULL,634.630,1.900000
300131,1574667,2019,6837,No,No,2660.000000,NULL,NULL,2660.000000,8,1.500000,39.000000,NULL,39.000000,7.000000,NULL,NULL,581.460,22.680000
300130,1574668,2019,6837,No,No,409.000000,NULL,NULL,409.000000,8,1.500000,6.000000,NULL,6.000000,1.000000,NULL,NULL,776.370,4.660000
300126,1574669,2019,6837,No,No,405.000000,NULL,NULL,405.000000,8,1.500000,6.000000,NULL,6.000000,2.000000,NULL,NULL,633.060,3.800000
300127,1574670,2019,6837,No,No,409.000000,NULL,NULL,409.000000,8,1.500000,6.000000,NULL,6.000000,1.000000,NULL,NULL,517.880,3.110000
300128,1574671,2019,6837,No,No,409.000000,NULL,NULL,409.000000,8,1.500000,6.000000,NULL,6.000000,1.000000,NULL,NULL,594.520,3.570000
304466,1574672,2019,6837,No,No,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,594.180,0.000000
300129,1574673,2019,6837,No,No,409.000000,NULL,NULL,409.000000,8,1.500000,6.000000,NULL,6.000000,1.000000,NULL,NULL,476.220,2.860000
300123,1574674,2019,6837,No,No,409.000000,NULL,NULL,409.000000,8,1.500000,6.000000,NULL,6.000000,1.000000,NULL,NULL,478.720,2.870000
300121,1574675,2019,6837,No,No,819.000000,NULL,NULL,819.000000,8,1.500000,12.000000,NULL,12.000000,2.000000,NULL,NULL,593.120,7.120000
300132,1574676,2019,6837,No,No,418.000000,NULL,NULL,418.000000,8,1.500000,6.000000,NULL,6.000000,1.000000,NULL,NULL,773.950,4.640000
300634,1574811,2019,6311,No,No,13751.000000,NULL,NULL,13751.000000,8,1.500000,122.000000,NULL,122.000000,1.000000,NULL,NULL,776.370,94.720000
313088,1574826,2019,6311,No,No,1926.000000,0.000000,0.000000,1926.000000,8,1.500000,28.000000,0.000000,28.000000,0.000000,0.000000,0.000000,486.370,13.620000
300656,1574842,2019,6311,No,No,4977.000000,NULL,NULL,4977.000000,8,1.500000,62.000000,NULL,62.000000,1.000000,NULL,NULL,468.900,29.070000
300640,1574850,2019,6311,No,No,12239.000000,NULL,NULL,12239.000000,8,1.500000,141.000000,NULL,141.000000,1.000000,NULL,NULL,600.720,84.700000
301333,1574890,2019,6511,No,No,195755.000000,NULL,NULL,195755.000000,8,1.500000,2872.000000,NULL,2872.000000,NULL,NULL,NULL,691.630,1986.360000
301959,1574919,2019,6311,No,No,15163.000000,0.000000,0.000000,15163.000000,8,1.500000,193.000000,0.000000,193.000000,0.000000,0.000000,0.000000,773.950,149.370000
302321,1574920,2019,6311,No,No,15057.000000,0.000000,0.000000,15057.000000,8,1.500000,192.000000,0.000000,192.000000,0.000000,0.000000,0.000000,691.630,132.790000
302320,1574921,2019,6311,No,No,15057.000000,0.000000,0.000000,15057.000000,8,1.500000,192.000000,0.000000,192.000000,0.000000,0.000000,0.000000,691.630,132.790000
304351,1574956,2019,6311,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,691.630,0.000000
304344,1574993,2019,6311,No,No,424503.000000,0.000000,0.000000,424503.000000,8,1.500000,6026.000000,0.000000,6026.000000,22.000000,0.000000,0.000000,634.630,3824.280000
304345,1574993,2019,6300,No,No,29979.000000,0.000000,0.000000,29979.000000,8,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,634.630,0.000000
301679,1574994,2019,6311,No,No,7037.000000,NULL,NULL,7037.000000,8,1.500000,103.000000,NULL,103.000000,22.000000,NULL,NULL,620.340,63.900000
301680,1574998,2019,6311,No,No,1104.000000,NULL,NULL,1104.000000,8,1.500000,16.000000,NULL,16.000000,5.000000,NULL,NULL,594.180,9.510000
304475,1575041,2019,6311,No,No,493.000000,0.000000,0.000000,493.000000,8,1.500000,7.000000,0.000000,7.000000,0.000000,0.000000,0.000000,634.630,4.440000
301464,1575061,2019,6302,No,Yes,0.000000,0.000000,0.000000,0.000000,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,557.520,0.000000
301686,1575110,2019,6511,No,No,49445.000000,NULL,NULL,49445.000000,8,1.500000,249.000000,NULL,249.000000,NULL,NULL,NULL,557.520,138.820000
301687,1575110,2019,6510,No,No,13765.000000,NULL,NULL,13765.000000,8,1.500000,69.000000,NULL,69.000000,NULL,NULL,NULL,557.520,38.470000
301688,1575110,2019,6512,No,No,NULL,NULL,NULL,NULL,8,1.500000,NULL,NULL,NULL,NULL,NULL,NULL,557.520,NULL
301681,1575111,2019,6311,No,No,2627.000000,NULL,NULL,2627.000000,8,1.500000,13.000000,NULL,13.000000,NULL,NULL,NULL,691.630,8.990000
301682,1575111,2019,6519,No,No,150.000000,NULL,NULL,150.000000,8,1.500000,1.000000,NULL,1.000000,NULL,NULL,NULL,691.630,0.690000
304653,1575119,2019,6311,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,638.050,0.000000
304654,1575120,2019,6311,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,478.720,0.000000
302099,1575285,2019,6510,No,No,10182.000000,0.000000,0.000000,10182.000000,8,1.500000,129.000000,0.000000,129.000000,5.000000,0.000000,0.000000,486.370,62.740000
302100,1575285,2019,6311,No,No,624576.000000,0.000000,0.000000,624576.000000,8,1.500000,7904.000000,0.000000,7904.000000,129.000000,0.000000,0.000000,486.370,3844.270000
302101,1575285,2019,6300,No,No,7025.000000,0.000000,0.000000,7025.000000,8,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,486.370,0.000000
302102,1575285,2019,6519,No,No,5000.000000,0.000000,0.000000,5000.000000,8,1.500000,63.000000,0.000000,63.000000,0.000000,0.000000,0.000000,486.370,30.640000
304447,1575295,2019,6511,No,No,162183.000000,0.000000,0.000000,162183.000000,8,1.500000,2400.000000,0.000000,2400.000000,0.000000,0.000000,0.000000,575.190,1380.460000
307910,1575295,2019,6101,No,No,30979.000000,NULL,NULL,30979.000000,8,1.500000,465.000000,NULL,465.000000,NULL,NULL,NULL,575.190,267.460000
307911,1575295,2019,6103,No,No,-30979.000000,NULL,NULL,-30979.000000,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,575.190,NULL
302424,1575296,2019,6511,No,No,22300.000000,NULL,NULL,22300.000000,8,1.500000,330.000000,NULL,330.000000,NULL,NULL,NULL,569.520,187.940000
307766,1575296,2019,6101,No,No,4260.000000,NULL,NULL,4260.000000,8,1.500000,64.000000,NULL,64.000000,NULL,NULL,NULL,569.520,36.450000
307767,1575296,2019,6103,No,No,-4260.000000,NULL,NULL,-4260.000000,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,569.520,NULL
304446,1575298,2019,6511,No,No,1853828.000000,0.000000,0.000000,1853828.000000,8,1.500000,27439.000000,0.000000,27439.000000,0.000000,0.000000,0.000000,634.630,17413.610000
307607,1575298,2019,6101,No,No,354105.000000,NULL,NULL,354105.000000,8,1.500000,5312.000000,NULL,5312.000000,NULL,NULL,NULL,634.630,3371.150000
307608,1575298,2019,6103,No,No,-354105.000000,NULL,NULL,-354105.000000,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,634.630,NULL
304578,1575481,2019,6311,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,691.630,0.000000
304440,1575496,2019,6311,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,691.630,0.000000
303520,1575515,2019,6510,No,No,10734.000000,0.000000,0.000000,10734.000000,8,1.500000,70.000000,0.000000,70.000000,1.000000,0.000000,0.000000,549.120,38.440000
303521,1575515,2019,6311,No,No,116288.000000,0.000000,0.000000,116288.000000,8,1.500000,755.000000,0.000000,755.000000,96.000000,0.000000,0.000000,549.120,414.590000
303522,1575515,2019,6300,No,No,430.000000,0.000000,0.000000,430.000000,8,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,549.120,0.000000
303523,1575515,2019,6837,No,No,49350.000000,0.000000,0.000000,49350.000000,8,1.500000,321.000000,0.000000,321.000000,1.000000,0.000000,0.000000,549.120,176.270000
302663,1575516,2019,6311,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,5.000000,0.000000,0.000000,549.120,0.000000
302643,1575520,2019,6311,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,691.630,0.000000
304671,1575534,2019,6311,No,No,365262.000000,0.000000,0.000000,365262.000000,8,1.500000,5427.000000,0.000000,5427.000000,0.000000,0.000000,0.000000,468.900,2544.720000
307332,1575534,2019,6101,No,No,155314.000000,NULL,NULL,155314.000000,8,1.500000,2330.000000,NULL,2330.000000,NULL,NULL,NULL,468.900,1092.540000
307333,1575534,2019,6103,No,No,-155314.000000,NULL,NULL,-155314.000000,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,468.900,NULL
302743,1575549,2019,6311,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,691.630,0.000000
303073,1575556,2019,6311,No,No,278.000000,NULL,NULL,278.000000,8,1.500000,4.000000,NULL,4.000000,NULL,NULL,NULL,476.130,1.900000
303076,1575570,2019,6311,No,No,558.000000,NULL,NULL,558.000000,8,1.500000,8.000000,NULL,8.000000,NULL,NULL,NULL,637.770,5.100000
303091,1575576,2019,6311,No,No,562.000000,NULL,NULL,562.000000,8,1.500000,8.000000,NULL,8.000000,NULL,NULL,NULL,611.270,4.890000
303102,1575583,2019,6311,No,No,570.000000,NULL,NULL,570.000000,8,1.500000,8.000000,NULL,8.000000,NULL,NULL,NULL,829.430,6.640000
303089,1575586,2019,6311,No,No,558.000000,NULL,NULL,558.000000,8,1.500000,8.000000,NULL,8.000000,NULL,NULL,NULL,820.040,6.560000
303018,1428731,2019,6311,No,No,19918.000000,0.000000,0.000000,19918.000000,8,1.500000,230.000000,0.000000,230.000000,7.000000,0.000000,0.000000,691.630,159.070000
303464,1428731,2019,6300,No,No,525.000000,NULL,NULL,525.000000,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,691.630,NULL
300914,1428760,2019,6311,No,No,7570.000000,0.000000,0.000000,7570.000000,8,1.500000,90.000000,0.000000,90.000000,5.000000,0.000000,0.000000,549.120,49.420000
300915,1428761,2019,6311,No,No,15225.000000,0.000000,0.000000,15225.000000,8,1.500000,181.000000,0.000000,181.000000,11.000000,0.000000,0.000000,691.630,125.190000
287869,1428765,2019,6837,No,No,484.000000,0.000000,0.000000,484.000000,8,1.500000,7.000000,0.000000,7.000000,2.000000,0.000000,0.000000,466.190,3.260000
301135,1430979,2019,6311,No,No,1330.000000,0.000000,0.000000,1330.000000,8,1.500000,18.000000,0.000000,18.000000,1.000000,0.000000,0.000000,549.120,9.880000
300060,1425986,2019,6311,No,No,1319.000000,0.000000,0.000000,1319.000000,8,1.500000,19.000000,0.000000,19.000000,0.000000,0.000000,0.000000,571.070,10.850000
303886,1426420,2019,6311,No,No,848.000000,0.000000,0.000000,848.000000,8,1.500000,12.000000,0.000000,12.000000,6.000000,0.000000,0.000000,581.460,6.980000
226147,553469,2019,6311,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,10.000000,0.000000,0.000000,691.630,0.000000
226148,553469,2019,6300,No,Yes,0.000000,0.000000,0.000000,0.000000,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,691.630,0.000000
226149,553469,2019,6519,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,691.630,0.000000
193749,553473,2019,6519,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,691.630,0.000000
193750,553473,2019,6311,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,12.000000,0.000000,0.000000,691.630,0.000000
227255,553502,2019,6510,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,691.630,0.000000
227258,553502,2019,6311,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,691.630,0.000000
227260,553502,2019,6512,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,691.630,0.000000
227262,553502,2019,6519,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,691.630,0.000000
188618,553511,2019,6512,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,6.000000,0.000000,0.000000,485.600,0.000000
188619,553511,2019,6519,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,485.600,0.000000
188620,553511,2019,6510,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,485.600,0.000000
188621,553511,2019,6311,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,138.000000,0.000000,0.000000,485.600,0.000000
208917,553533,2019,6311,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,17.000000,0.000000,0.000000,773.950,0.000000
208918,553533,2019,6519,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,773.950,0.000000
272121,553550,2019,6511,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,691.630,0.000000
272122,553550,2019,6510,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,691.630,0.000000
272123,553550,2019,6311,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,691.630,0.000000
272124,553550,2019,6512,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,691.630,0.000000
172705,553564,2019,6311,No,Yes,0.000000,NULL,0.000000,0.000000,08,1.500000,0.000000,NULL,0.000000,NULL,NULL,NULL,691.630,0.000000
172706,553564,2019,6514,No,Yes,0.000000,NULL,0.000000,0.000000,08,1.500000,0.000000,NULL,0.000000,NULL,NULL,NULL,691.630,0.000000
172707,553564,2019,6519,No,Yes,0.000000,NULL,0.000000,0.000000,08,1.500000,0.000000,NULL,0.000000,NULL,NULL,NULL,691.630,0.000000
229985,553588,2019,6311,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,691.630,0.000000
229986,553588,2019,6519,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,691.630,0.000000
240793,553593,2019,6311,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,13.000000,0.000000,0.000000,691.630,0.000000
240794,553593,2019,6519,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,691.630,0.000000
255559,553603,2019,6311,No,No,18313.000000,0.000000,0.000000,18313.000000,8,1.500000,196.000000,0.000000,196.000000,26.000000,0.000000,0.000000,691.630,135.560000
263009,553603,2019,6519,No,No,182.000000,NULL,0.000000,182.000000,8,1.500000,2.000000,NULL,2.000000,1.000000,NULL,NULL,691.630,1.380000
202591,553607,2019,6510,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,37.000000,0.000000,0.000000,634.630,0.000000
202592,553607,2019,6311,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,137.000000,0.000000,0.000000,634.630,0.000000
202593,553607,2019,6512,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,106.000000,0.000000,0.000000,634.630,0.000000
202594,553607,2019,6519,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,634.630,0.000000
172708,553632,2019,6311,No,Yes,0.000000,NULL,0.000000,0.000000,08,1.500000,0.000000,NULL,0.000000,NULL,NULL,NULL,691.630,0.000000
172709,553632,2019,6519,No,Yes,0.000000,NULL,0.000000,0.000000,08,1.500000,0.000000,NULL,0.000000,NULL,NULL,NULL,691.630,0.000000
256317,553637,2019,6311,No,No,117988.000000,0.000000,0.000000,117988.000000,8,1.500000,1627.000000,0.000000,1627.000000,37.000000,0.000000,0.000000,691.630,1125.280000
256318,553637,2019,6519,No,No,168.000000,0.000000,0.000000,168.000000,8,1.500000,2.000000,0.000000,2.000000,0.000000,0.000000,0.000000,691.630,1.380000
300374,553651,2019,6311,No,No,626.000000,0.000000,0.000000,626.000000,8,1.500000,4.000000,0.000000,4.000000,0.000000,0.000000,0.000000,776.370,3.110000
300378,553656,2019,6311,No,No,2666.000000,0.000000,0.000000,2666.000000,8,1.500000,15.000000,0.000000,15.000000,3.000000,0.000000,0.000000,691.630,10.370000
209932,553661,2019,6311,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,691.630,0.000000
202564,553665,2019,6311,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,633.060,0.000000
206196,553682,2019,6311,No,No,52573.000000,0.000000,0.000000,52573.000000,8,1.500000,659.000000,0.000000,659.000000,93.000000,0.000000,0.000000,691.630,455.780000
206197,553682,2019,6519,No,No,300.000000,0.000000,0.000000,300.000000,8,1.500000,4.000000,0.000000,4.000000,0.000000,0.000000,0.000000,691.630,2.770000
299110,553682,2019,6300,No,No,1359.000000,NULL,NULL,1359.000000,8,NULL,NULL,NULL,NULL,1.000000,NULL,NULL,691.630,NULL
270158,553692,2019,6311,No,No,827292.000000,0.000000,0.000000,827292.000000,8,1.500000,12000.000000,0.000000,12000.000000,61.000000,0.000000,0.000000,691.630,8299.560000
270159,553692,2019,6519,No,No,250.000000,0.000000,0.000000,250.000000,8,1.500000,4.000000,0.000000,4.000000,0.000000,0.000000,0.000000,691.630,2.770000
229566,553697,2019,6311,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,691.630,0.000000
229567,553697,2019,6519,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,691.630,0.000000
225530,553703,2019,6511,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,570.750,0.000000
225531,553703,2019,6510,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,570.750,0.000000
266185,553707,2019,6311,Yes,No,125252.000000,0.000000,24798.000000,125252.000000,8,1.500000,1860.000000,0.000000,1860.000000,446.000000,0.000000,0.000000,691.630,1286.430000
266186,553707,2019,6519,Yes,No,2935.000000,0.000000,581.000000,2935.000000,8,1.500000,44.000000,0.000000,44.000000,0.000000,0.000000,0.000000,691.630,30.430000
307627,553707,2019,6101,Yes,No,49412.000000,NULL,NULL,49412.000000,8,1.500000,741.000000,NULL,741.000000,NULL,NULL,NULL,691.630,512.500000
307628,553707,2019,6100,Yes,No,25379.000000,NULL,NULL,25379.000000,8,1.500000,381.000000,NULL,381.000000,NULL,NULL,NULL,691.630,263.510000
307629,553707,2019,6103,Yes,No,-49412.000000,NULL,NULL,-49412.000000,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,691.630,NULL
298167,553730,2019,6311,No,No,54344.000000,0.000000,0.000000,54344.000000,8,1.500000,509.000000,0.000000,509.000000,0.000000,0.000000,0.000000,691.630,352.040000
298168,553730,2019,6519,No,No,511.000000,0.000000,0.000000,511.000000,8,1.500000,5.000000,0.000000,5.000000,0.000000,0.000000,0.000000,691.630,3.460000
295623,553735,2019,6311,No,Yes,NULL,NULL,NULL,NULL,8,1.500000,NULL,NULL,NULL,NULL,NULL,NULL,468.900,NULL
223229,553739,2019,6311,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,691.630,0.000000
223230,553739,2019,6519,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,691.630,0.000000
